th,0.000356
he,0.000307
in,0.000243
er,0.000205
an,0.000199
re,0.000185
on,0.000176
at,0.000149
en,0.000145
nd,0.000135
ti,0.000134
es,0.000134
or,0.000128
te,0.00012
of,0.000117
ed,0.000117
is,0.000113
it,0.000112
al,0.000109
ar,0.000107
st,0.000105
to,0.000104
nt,0.000104
ng,0.000095
se,0.000093
ha,0.000093
as,0.000087
ou,0.000087
io,0.000083
le,0.000083
ve,0.000083
co,0.000079
me,0.000079
de,0.000076
hi,0.000076
ri,0.000073
ro,0.000073
ic,0.00007
ne,0.000069
ea,0.000069
ra,0.000069
ce,0.000065
li,0.000062
ch,0.00006
ll,0.000058
be,0.000058
ma,0.000057
si,0.000055
om,0.000055
ur,0.000054
